userProfileId;displayName;totalKilocalories;activeKilocalories;bmrKilocalories;wellnessKilocalories;burnedKilocalories;consumedKilocalories;remainingKilocalories;totalSteps;netCalorieGoal;totalDistanceMeters;wellnessDistanceMeters;wellnessActiveKilocalories;netRemainingKilocalories;userDailySummaryId;calendarDate;rule;uuid;dailyStepGoal;wellnessStartTimeGmt;wellnessStartTimeLocal;wellnessEndTimeGmt;wellnessEndTimeLocal;durationInMilliseconds;wellnessDescription;highlyActiveSeconds;activeSeconds;sedentarySeconds;sleepingSeconds;includesWellnessData;includesActivityData;includesCalorieConsumedData;privacyProtected;moderateIntensityMinutes;vigorousIntensityMinutes;floorsAscendedInMeters;floorsDescendedInMeters;floorsAscended;floorsDescended;intensityMinutesGoal;userFloorsAscendedGoal;minHeartRate;maxHeartRate;restingHeartRate;lastSevenDaysAvgRestingHeartRate;source;averageStressLevel;maxStressLevel;stressDuration;restStressDuration;activityStressDuration;uncategorizedStressDuration;totalStressDuration;lowStressDuration;mediumStressDuration;highStressDuration;stressPercentage;restStressPercentage;activityStressPercentage;uncategorizedStressPercentage;lowStressPercentage;mediumStressPercentage;highStressPercentage;stressQualifier;measurableAwakeDuration;measurableAsleepDuration;lastSyncTimestampGMT;minAvgHeartRate;maxAvgHeartRate;bodyBatteryChargedValue;bodyBatteryDrainedValue;bodyBatteryHighestValue;bodyBatteryLowestValue;bodyBatteryMostRecentValue;bodyBatteryDuringSleep;bodyBatteryAtWakeTime;bodyBatteryVersion;abnormalHeartRateAlertsCount;averageSpo2;lowestSpo2;latestSpo2;latestSpo2ReadingTimeGmt;latestSpo2ReadingTimeLocal;averageMonitoringEnvironmentAltitude;restingCaloriesFromActivity;avgWakingRespirationValue;highestRespirationValue;lowestRespirationValue;latestRespirationValue;latestRespirationTimeGMT;rule.typeId;rule.typeKey;respirationAlgorithmVersion;hrvValue;sleepHours;stressLevel;steps
120103153;;2381.0;6.0;2375.0;2381.0;;;2381.0;95.0;;84.0;84.0;6.0;6.0;120103153.0;2024-02-09;;a0b93bfb5bf64ce2aec0ccbd56d71b68;10000.0;2024-02-08T23:00:00.0;2024-02-09T00:00:00.0;2024-02-09T23:00:00.0;2024-02-10T00:00:00.0;86400000.0;;296.0;45.0;86059.0;0.0;True;False;False;False;0.0;0.0;0.0;0.0;0.0;0.0;150.0;10.0;57.0;92.0;64.0;64.0;GARMIN;16.0;75.0;720.0;6480.0;1680.0;10200.0;19080.0;480.0;240.0;;3.77;33.96;8.81;53.46;2.52;1.26;0.0;UNKNOWN;8880.0;0.0;;60.0;91.0;6.0;11.0;54.0;43.0;49.0;;;2.0;;;;;;;174.0;;14.0;18.0;12.0;14.0;2024-02-09T23:00:00.0;2.0;private;;;0.0;;
120103153;;3322.0;947.0;2375.0;3322.0;;;3322.0;9450.0;;9346.0;9346.0;947.0;947.0;120103153.0;2024-02-10;;491a386d2c2a4ed887c1f685bd6bd6e8;10000.0;2024-02-09T23:00:00.0;2024-02-10T00:00:00.0;2024-02-10T23:00:00.0;2024-02-11T00:00:00.0;86400000.0;;4737.0;3842.0;55081.0;22740.0;True;True;False;False;2.0;30.0;76.2;84.381;25.0;27.68406;150.0;10.0;50.0;180.0;52.0;58.0;GARMIN;40.0;96.0;27780.0;34260.0;7620.0;16020.0;85680.0;6240.0;6780.0;14760.0;32.42;39.99;8.89;18.7;7.28;7.91;17.23;BALANCED;47220.0;22440.0;;50.0;180.0;47.0;91.0;92.0;5.0;5.0;41.0;;2.0;;95.0;95.0;95.0;2024-02-10T22:37:00.0;2024-02-10T23:37:00.0;134.0;37.0;13.0;21.0;9.0;12.0;2024-02-10T22:58:00.0;2.0;private;;;6.316666666666666;;
120103153;;2618.0;243.0;2375.0;2618.0;;;2618.0;5186.0;;4280.0;4280.0;243.0;243.0;120103153.0;2024-02-11;;87fd637498b44b1298042d72353b9785;9890.0;2024-02-10T23:00:00.0;2024-02-11T00:00:00.0;2024-02-11T23:00:00.0;2024-02-12T00:00:00.0;86400000.0;;450.0;3663.0;62607.0;19680.0;True;False;False;False;0.0;0.0;16.384;15.511;5.37533;5.08891;150.0;10.0;54.0;126.0;60.0;59.0;GARMIN;29.0;89.0;8880.0;23100.0;3960.0;50040.0;85980.0;4380.0;3000.0;1500.0;10.33;26.87;4.61;58.2;5.09;3.49;1.74;UNKNOWN;16200.0;19740.0;;58.0;118.0;31.0;2.0;36.0;5.0;34.0;29.0;;2.0;;93.0;86.0;95.0;2024-02-11T06:15:00.0;2024-02-11T07:15:00.0;164.0;;13.0;24.0;12.0;15.0;2024-02-11T09:28:00.0;2.0;private;;;5.466666666666667;;
120103153;;3363.0;988.0;2375.0;3363.0;;;3363.0;12899.0;;13744.0;13744.0;988.0;988.0;120103153.0;2024-02-12;;ec0efd8e36cb4c79bb7dde919e779aa4;8950.0;2024-02-11T23:00:00.0;2024-02-12T00:00:00.0;2024-02-12T23:00:00.0;2024-02-13T00:00:00.0;86400000.0;;4987.0;3214.0;78199.0;0.0;True;True;False;False;6.0;47.0;123.706;130.379;40.58596;42.77526;150.0;10.0;53.0;193.0;58.0;59.0;GARMIN;21.0;75.0;7140.0;25800.0;8460.0;44340.0;85740.0;6180.0;960.0;;8.33;30.09;9.87;51.71;7.21;1.12;0.0;CALM_AWAKE;41400.0;0.0;;55.0;192.0;5.0;63.0;79.0;21.0;21.0;;;2.0;;;;;;;205.0;76.0;13.0;20.0;9.0;13.0;2024-02-12T22:12:00.0;2.0;private;;;0.0;;
120103153;;2616.0;241.0;2375.0;2616.0;;;2616.0;5277.0;;4322.0;4322.0;241.0;241.0;120103153.0;2024-02-13;;aa002839b50443f5a33687230f1286ff;9350.0;2024-02-12T23:00:00.0;2024-02-13T00:00:00.0;2024-02-13T23:00:00.0;2024-02-14T00:00:00.0;86400000.0;;2332.0;3673.0;80395.0;0.0;True;False;False;False;0.0;0.0;13.117;20.296;4.30348;6.65879;150.0;10.0;53.0;122.0;60.0;59.0;GARMIN;30.0;85.0;13620.0;17760.0;4800.0;50100.0;86280.0;9300.0;3780.0;540.0;15.79;20.58;5.56;58.07;10.78;4.38;0.63;CALM_AWAKE;36180.0;0.0;;55.0;122.0;2.0;41.0;86.0;47.0;47.0;;;2.0;;;;;;;206.0;;13.0;15.0;10.0;14.0;2024-02-13T17:32:00.0;2.0;private;;;0.0;;
120103153;;2515.0;140.0;2375.0;2515.0;;;2515.0;2018.0;;1747.0;1747.0;140.0;140.0;120103153.0;2024-02-14;;d29fe99dab0e4208ac49b26e626dfb38;8950.0;2024-02-13T23:00:00.0;2024-02-14T00:00:00.0;2024-02-14T23:00:00.0;2024-02-15T00:00:00.0;86400000.0;;2100.0;1110.0;60570.0;22620.0;True;False;False;False;0.0;0.0;0.0;0.0;0.0;0.0;150.0;10.0;47.0;108.0;50.0;57.0;GARMIN;21.0;90.0;5460.0;28560.0;2580.0;49740.0;86340.0;2280.0;2220.0;960.0;6.32;33.08;2.99;57.61;2.64;2.57;1.11;UNKNOWN;13920.0;22680.0;;48.0;107.0;66.0;22.0;96.0;19.0;23.0;56.0;;2.0;;92.0;87.0;93.0;2024-02-14T23:00:00.0;2024-02-15T00:00:00.0;172.0;;14.0;19.0;12.0;14.0;2024-02-14T23:00:00.0;2.0;private;;;6.283333333333333;;
120103153;;3651.0;1276.0;2375.0;3651.0;;;3651.0;11900.0;;13367.0;13367.0;1276.0;1276.0;120103153.0;2024-02-15;;1a47e9775c3449bca01c9739da71a18b;7570.0;2024-02-14T23:00:00.0;2024-02-15T00:00:00.0;2024-02-15T23:00:00.0;2024-02-16T00:00:00.0;86400000.0;;4717.0;1875.0;53828.0;25980.0;True;True;False;False;1.0;77.0;122.448;142.321;40.17323;46.69324;150.0;10.0;49.0;191.0;52.0;57.0;GARMIN;25.0;90.0;5880.0;28200.0;7800.0;44280.0;86160.0;1260.0;2700.0;1920.0;6.82;32.73;9.05;51.39;1.46;3.13;2.23;UNKNOWN;15840.0;26040.0;;51.0;191.0;58.0;27.0;81.0;5.0;5.0;57.0;;2.0;;97.0;87.0;91.0;2024-02-15T23:00:00.0;2024-02-16T00:00:00.0;187.0;101.0;13.0;20.0;11.0;13.0;2024-02-15T23:00:00.0;2.0;private;;;7.216666666666667;;
120103153;;2798.0;423.0;2375.0;2798.0;;;2798.0;8693.0;;7166.0;7166.0;423.0;423.0;120103153.0;2024-02-16;;9c893a8146674dd5940d495f4086942d;8010.0;2024-02-15T23:00:00.0;2024-02-16T00:00:00.0;2024-02-16T23:00:00.0;2024-02-17T00:00:00.0;86400000.0;;5250.0;5234.0;49576.0;26340.0;True;False;False;False;0.0;0.0;22.654;13.902;7.43241;4.56102;150.0;10.0;48.0;123.0;53.0;55.0;GARMIN;25.0;93.0;15900.0;44040.0;16260.0;9900.0;86100.0;12000.0;3420.0;480.0;18.47;51.15;18.89;11.5;13.94;3.97;0.56;BALANCED;50340.0;25860.0;;49.0;120.0;71.0;43.0;61.0;5.0;33.0;56.0;;2.0;;92.0;79.0;94.0;2024-02-16T06:14:00.0;2024-02-16T07:14:00.0;56.0;;13.0;21.0;9.0;21.0;2024-02-16T21:07:00.0;2.0;private;;;7.316666666666666;;
120103153;;3390.0;1015.0;2375.0;3390.0;;;3390.0;12993.0;;12191.0;12191.0;1015.0;1015.0;120103153.0;2024-02-17;;4cb13e38cce54cbfae5ed3b0e39a56be;8150.0;2024-02-16T23:00:00.0;2024-02-17T00:00:00.0;2024-02-17T23:00:00.0;2024-02-18T00:00:00.0;86400000.0;;3944.0;6338.0;76118.0;0.0;True;True;False;False;10.0;39.0;100.933;110.654;33.1145;36.30381;150.0;10.0;57.0;181.0;60.0;56.0;GARMIN;51.0;96.0;11100.0;2700.0;10500.0;61860.0;86160.0;4380.0;3960.0;2760.0;12.88;3.13;12.19;71.8;5.08;4.6;3.2;UNKNOWN;24300.0;0.0;;58.0;179.0;12.0;32.0;72.0;10.0;14.0;;;2.0;;95.0;95.0;95.0;2024-02-17T22:56:00.0;2024-02-17T23:56:00.0;-43.0;63.0;14.0;21.0;10.0;11.0;2024-02-17T23:00:00.0;2.0;private;;;0.0;;
120103153;;2880.0;505.0;2375.0;2880.0;;;2880.0;14390.0;;11801.0;11801.0;505.0;505.0;120103153.0;2024-02-18;;6137f1631d3b48439355ba9302c9387a;9120.0;2024-02-17T23:00:00.0;2024-02-18T00:00:00.0;2024-02-18T23:00:00.0;2024-02-19T00:00:00.0;86400000.0;;5391.0;8911.0;44618.0;27480.0;True;False;False;False;0.0;4.0;0.0;8.659;0.0;2.84088;150.0;10.0;49.0;121.0;52.0;55.0;GARMIN;26.0;90.0;16320.0;46440.0;15900.0;7560.0;86220.0;9660.0;4980.0;1680.0;18.93;53.86;18.44;8.77;11.2;5.78;1.95;BALANCED;51540.0;27120.0;;49.0;121.0;68.0;55.0;75.0;9.0;27.0;59.0;;2.0;;92.0;84.0;93.0;2024-02-18T23:00:00.0;2024-02-19T00:00:00.0;91.0;;13.0;21.0;9.0;14.0;2024-02-18T23:00:00.0;2.0;private;;;7.633333333333334;;
